,year,month,curr_month,prev_month,1_year_ago
0,2013,1,16.516129032258064,13.67741935483871,17.774193548387096
1,2013,2,15.964285714285714,16.516129032258064,17.678571428571427
2,2013,3,14.96774193548387,15.964285714285714,13.483870967741936
3,2013,4,11.433333333333334,14.96774193548387,12.433333333333334
4,2013,5,9.64516129032258,11.433333333333334,9.516129032258064
5,2013,6,5.566666666666666,9.64516129032258,7.333333333333333
6,2013,7,4.741935483870968,5.566666666666666,7.580645161290323
7,2013,8,7.903225806451613,4.741935483870968,7.290322580645161
8,2013,9,7.233333333333333,7.903225806451613,10.133333333333333
9,2013,10,9.612903225806452,7.233333333333333,10.0
10,2013,11,12.466666666666667,9.612903225806452,12.0
11,2013,12,13.774193548387096,12.466666666666667,13.67741935483871
12,2014,1,13.225806451612904,13.774193548387096,16.516129032258064
13,2014,2,16.785714285714285,13.225806451612904,15.964285714285714
14,2014,3,15.774193548387096,16.785714285714285,14.96774193548387
15,2014,4,10.633333333333333,15.774193548387096,11.433333333333334
16,2014,5,10.161290322580646,10.633333333333333,9.64516129032258
17,2014,6,6.7,10.161290322580646,5.566666666666666
18,2014,7,6.870967741935484,6.7,4.741935483870968
19,2014,8,8.548387096774194,6.870967741935484,7.903225806451613
20,2014,9,9.266666666666667,8.548387096774194,7.233333333333333
21,2014,10,10.35483870967742,9.266666666666667,9.612903225806452
22,2014,11,12.066666666666666,10.35483870967742,12.466666666666667
23,2014,12,14.35483870967742,12.066666666666666,13.774193548387096
24,2015,1,14.258064516129032,14.35483870967742,13.225806451612904
25,2015,2,15.068965517241379,14.258064516129032,16.785714285714285
26,2015,3,12.838709677419354,15.068965517241379,15.774193548387096
27,2015,4,10.7,12.838709677419354,10.633333333333333
28,2015,5,8.193548387096774,10.7,10.161290322580646
29,2015,6,7.666666666666667,8.193548387096774,6.7
30,2015,7,6.032258064516129,7.666666666666667,6.870967741935484
31,2015,8,8.64516129032258,6.032258064516129,8.548387096774194
32,2015,9,8.1,8.64516129032258,9.266666666666667
33,2015,10,10.580645161290322,8.1,10.35483870967742
34,2015,11,12.733333333333333,10.580645161290322,12.066666666666666
35,2015,12,12.566666666666666,12.733333333333333,14.35483870967742
36,2016,1,14.161290322580646,12.566666666666666,14.258064516129032
37,2016,2,14.071428571428571,14.161290322580646,15.068965517241379
38,2016,3,15.870967741935484,14.071428571428571,12.838709677419354
39,2016,4,13.0,15.870967741935484,10.7
40,2016,5,9.419354838709678,13.0,8.193548387096774
41,2016,6,7.033333333333333,9.419354838709678,7.666666666666667
42,2016,7,6.129032258064516,7.033333333333333,6.032258064516129
43,2016,8,7.612903225806452,6.129032258064516,8.64516129032258
44,2016,9,8.866666666666667,7.612903225806452,8.1
45,2016,10,10.483870967741936,8.866666666666667,10.580645161290322
46,2016,11,13.0,10.483870967741936,12.733333333333333
47,2016,12,14.129032258064516,13.0,12.566666666666666
48,2017,1,13.870967741935484,14.129032258064516,14.161290322580646
49,2017,2,14.178571428571429,13.870967741935484,14.071428571428571
50,2017,3,14.709677419354838,14.178571428571429,15.870967741935484
51,2017,4,11.6,14.709677419354838,13.0
52,2017,5,10.225806451612904,11.6,9.419354838709678
53,2017,6,7.7,10.225806451612904,7.033333333333333
54,2017,7,6.967741935483871,7.7,6.129032258064516
55,2017,8,7.387096774193548,6.967741935483871,7.612903225806452
56,2017,9,8.933333333333334,7.387096774193548,8.866666666666667
57,2017,10,9.741935483870968,8.933333333333334,10.483870967741936
58,2017,11,11.8,9.741935483870968,13.0
59,2017,12,12.870967741935484,11.8,14.129032258064516
60,2018,1,13.258064516129032,12.870967741935484,13.870967741935484
61,2018,2,13.928571428571429,13.258064516129032,14.178571428571429
62,2018,3,12.548387096774194,13.928571428571429,14.709677419354838
63,2018,4,12.266666666666667,12.548387096774194,11.6
64,2018,5,9.838709677419354,12.266666666666667,10.225806451612904
65,2018,6,8.266666666666667,9.838709677419354,7.7
66,2018,7,6.0,8.266666666666667,6.967741935483871
67,2018,8,8.064516129032258,6.0,7.387096774193548
68,2018,9,9.833333333333334,8.064516129032258,8.933333333333334
69,2018,10,10.161290322580646,9.833333333333334,9.741935483870968
70,2018,11,13.233333333333333,10.161290322580646,11.8
71,2018,12,13.193548387096774,13.233333333333333,12.870967741935484
72,2019,1,16.451612903225808,13.193548387096774,13.258064516129032
73,2019,2,14.379310344827585,16.451612903225808,13.928571428571429
74,2019,3,14.774193548387096,14.379310344827585,12.548387096774194
75,2019,4,12.866666666666667,14.774193548387096,12.266666666666667
76,2019,5,11.387096774193548,12.866666666666667,9.838709677419354
77,2019,6,8.433333333333334,11.387096774193548,8.266666666666667
78,2019,7,8.161290322580646,8.433333333333334,6.0
79,2019,8,8.838709677419354,8.161290322580646,8.064516129032258
80,2019,9,9.933333333333334,8.838709677419354,9.833333333333334
81,2019,10,10.870967741935484,9.933333333333334,10.161290322580646
82,2019,11,12.333333333333334,10.870967741935484,13.233333333333333
83,2019,12,15.466666666666667,12.333333333333334,13.193548387096774
84,2020,1,15.129032258064516,15.466666666666667,16.451612903225808
85,2020,2,16.285714285714285,15.129032258064516,14.379310344827585
86,2020,3,15.774193548387096,16.285714285714285,14.774193548387096
87,2020,4,12.533333333333333,15.774193548387096,12.866666666666667
88,2020,5,10.709677419354838,12.533333333333333,11.387096774193548
89,2020,6,6.5,10.709677419354838,8.433333333333334
90,2020,7,6.354838709677419,6.5,8.161290322580646
91,2020,8,6.838709677419355,6.354838709677419,8.838709677419354
92,2020,9,8.5,6.838709677419355,9.933333333333334
